
[TRAIN]------------------2022-03-23 04:20:42------------------

[TRAIN]------------------2022-03-23 04:22:07------------------
IT 289, LR 0.001000, TEER/TAcc 43.36, TLOSS 3.797381
IT 290, LR 0.001000, TEER/TAcc 42.65, TLOSS 3.847246, VEER 11.1858, MINEER 10.3926
IT 291, LR 0.001000, TEER/TAcc 43.03, TLOSS 3.774361
IT 292, LR 0.001000, TEER/TAcc 42.92, TLOSS 3.863161
IT 293, LR 0.001000, TEER/TAcc 41.75, TLOSS 3.852412
IT 294, LR 0.001000, TEER/TAcc 43.32, TLOSS 3.831637
IT 295, LR 0.001000, TEER/TAcc 42.42, TLOSS 3.850152
IT 296, LR 0.001000, TEER/TAcc 41.99, TLOSS 3.863849
IT 297, LR 0.001000, TEER/TAcc 42.47, TLOSS 3.862605
IT 298, LR 0.001000, TEER/TAcc 43.35, TLOSS 3.802540
IT 299, LR 0.001000, TEER/TAcc 42.99, TLOSS 3.811175
IT 300, LR 0.001000, TEER/TAcc 42.84, TLOSS 3.833621, VEER 10.8161, MINEER 10.3926
IT 301, LR 0.001000, TEER/TAcc 42.81, TLOSS 3.774189
IT 302, LR 0.001000, TEER/TAcc 43.73, TLOSS 3.804569
IT 303, LR 0.001000, TEER/TAcc 43.63, TLOSS 3.770199
IT 304, LR 0.001000, TEER/TAcc 44.03, TLOSS 3.783110
IT 305, LR 0.001000, TEER/TAcc 43.69, TLOSS 3.806761
IT 306, LR 0.001000, TEER/TAcc 43.00, TLOSS 3.825860
IT 307, LR 0.001000, TEER/TAcc 43.52, TLOSS 3.768756
IT 308, LR 0.001000, TEER/TAcc 43.05, TLOSS 3.883445
IT 309, LR 0.001000, TEER/TAcc 43.81, TLOSS 3.766788
IT 310, LR 0.001000, TEER/TAcc 44.73, TLOSS 3.701758, VEER 10.4329, MINEER 10.3926
IT 311, LR 0.001000, TEER/TAcc 43.86, TLOSS 3.815081
IT 312, LR 0.001000, TEER/TAcc 43.39, TLOSS 3.778287
IT 313, LR 0.001000, TEER/TAcc 44.12, TLOSS 3.728409
IT 314, LR 0.001000, TEER/TAcc 44.30, TLOSS 3.765602
IT 315, LR 0.001000, TEER/TAcc 44.33, TLOSS 3.738232
IT 316, LR 0.001000, TEER/TAcc 43.72, TLOSS 3.803818
IT 317, LR 0.001000, TEER/TAcc 43.62, TLOSS 3.827741
IT 318, LR 0.001000, TEER/TAcc 42.70, TLOSS 3.817156
IT 319, LR 0.001000, TEER/TAcc 43.77, TLOSS 3.745626
IT 320, LR 0.001000, TEER/TAcc 43.50, TLOSS 3.747787, VEER 10.6077, MINEER 10.3926
IT 321, LR 0.001000, TEER/TAcc 44.69, TLOSS 3.771633
IT 322, LR 0.001000, TEER/TAcc 43.50, TLOSS 3.744817
IT 323, LR 0.001000, TEER/TAcc 43.63, TLOSS 3.772983
IT 324, LR 0.001000, TEER/TAcc 44.32, TLOSS 3.722781
IT 325, LR 0.001000, TEER/TAcc 45.31, TLOSS 3.705549
IT 326, LR 0.001000, TEER/TAcc 45.43, TLOSS 3.693224
IT 327, LR 0.001000, TEER/TAcc 43.95, TLOSS 3.740701
IT 328, LR 0.001000, TEER/TAcc 44.07, TLOSS 3.732724
IT 329, LR 0.001000, TEER/TAcc 44.62, TLOSS 3.749652
IT 330, LR 0.001000, TEER/TAcc 43.37, TLOSS 3.773265, VEER 10.2178, MINEER 10.2178
IT 331, LR 0.001000, TEER/TAcc 44.48, TLOSS 3.751941
IT 332, LR 0.001000, TEER/TAcc 45.60, TLOSS 3.662364
IT 333, LR 0.001000, TEER/TAcc 45.53, TLOSS 3.699018
